Date,Price,Open,High,Low,Vol.,Change %
"Jan 29, 2014",863.61,867.26,870.86,861.05,672.50M,-0.18%
"Jan 30, 2014",857.50,857.09,860.67,852.59,554.00M,-0.71%
"Jan 31, 2014",866.34,860.79,866.56,860.11,648.08M,1.03%
"Feb 03, 2014",879.72,872.84,881.92,871.60,819.46M,1.54%
"Feb 04, 2014",865.23,869.97,871.46,863.07,783.83M,-1.65%
"Feb 05, 2014",867.11,869.99,873.18,860.83,747.80M,0.22%
"Feb 06, 2014",878.27,874.33,878.55,870.72,951.21M,1.29%
"Feb 07, 2014",879.69,884.09,886.82,878.81,1.16B,0.16%
"Feb 10, 2014",874.88,882.98,884.75,872.85,902.10M,-0.55%
"Feb 11, 2014",879.09,876.78,881.78,872.38,684.47M,0.48%
"Feb 12, 2014",892.57,881.34,892.85,880.19,883.91M,1.53%
"Feb 13, 2014",890.01,892.36,894.52,887.44,908.58M,-0.29%
"Feb 17, 2014",906.24,895.41,906.82,893.10,1.15B,1.82%
"Feb 18, 2014",901.09,902.20,904.07,893.05,1.05B,-0.57%
"Feb 19, 2014",896.85,905.33,906.32,894.73,884.52M,-0.47%
"Feb 20, 2014",883.30,890.78,893.31,880.72,934.11M,-1.51%
"Feb 21, 2014",883.06,883.32,887.35,876.06,593.83M,-0.03%
"Feb 24, 2014",881.56,878.83,884.11,875.33,517.05M,-0.17%
"Feb 25, 2014",883.16,884.89,890.31,879.63,550.71M,0.18%
"Feb 26, 2014",883.56,883.58,887.64,881.68,492.67M,0.05%
"Feb 27, 2014",894.16,884.79,896.74,884.00,711.77M,1.20%
"Feb 28, 2014",899.51,893.98,900.77,890.37,688.15M,0.60%
"Mar 03, 2014",909.96,903.53,915.81,903.32,1.11B,1.16%
"Mar 04, 2014",913.94,913.67,918.15,912.63,696.12M,0.44%
"Mar 05, 2014",917.59,920.53,922.54,911.43,894.09M,0.40%
"Mar 06, 2014",916.04,917.85,918.28,912.71,970.81M,-0.17%
"Mar 07, 2014",916.97,917.98,920.28,914.15,624.76M,0.10%
"Mar 10, 2014",912.28,915.91,917.59,904.55,975.16M,-0.51%
"Mar 11, 2014",923.94,915.62,925.47,914.71,1.05B,1.28%
"Mar 12, 2014",917.68,920.08,924.48,917.54,673.17M,-0.68%
